time,open,high,low,close,Volume
2002-07-01,49.25,54.2,46.5,46.8,103125
2002-08-01,46.5,53.5,46.5,53.2,137176
2002-09-03,52.8,64.3,51.95,54.5,171816
2002-10-01,54.25,73.5,54.25,65.95,168354
2002-11-01,65.35,73.3,62.75,70.6,130256
2002-12-02,70.3,73.8,59.05,60.2,133061
2003-01-02,60.5,69.5,60.25,65.3,142029
2003-02-03,64.9,70.25,59,59.15,151402
2003-03-03,58.5,62.1,57,58.65,116351
2003-04-01,58.75,69.5,58.1,69.25,198255
2003-05-01,69.25,71.2,58.1,58.35,171873
2003-06-02,58.5,63.65,57.9,61.1,148190
2003-07-01,61.25,64.25,58.8,63.45,176701
2003-08-01,64,66.75,62.05,63.4,147549
2003-09-02,63.9,72.8,62,62.9,278038
2003-10-01,63.5,66.9,58.6,58.65,214528
2003-11-03,59,64.35,58.6,60.65,168474
2003-12-01,60.55,67.5,60,64.95,187714
2004-01-02,64.75,79.2,64,75.5,262005
2004-02-02,74,78.4,70.5,76.75,228481
2004-03-01,77.15,79.5,70.85,73.75,228873
2004-04-01,74,76.25,69.05,69.1,225065
2004-05-03,69.5,86.5,69.15,85.55,249177
2004-06-01,85.6,87.25,72.5,75.3,239446
2004-07-01,75,75.25,66.2,66.45,182951
2004-08-02,66.25,74.7,65,72.6,215116
2004-09-01,72.4,86.4,70.45,82.35,253791
2004-10-01,81.25,81.3,71.9,74.4,202645
2004-11-01,75,100,73.8,97.45,273453
2004-12-01,97,108.7,93,103.75,231316
2005-01-03,103.5,106.25,95.1,105.35,209352
2005-02-01,104.25,126.6,103.3,121.55,263443
2005-03-01,121.55,139.5,119.55,126.4,248193
2005-04-01,126.4,135,112.75,127.95,267186
2005-05-02,127.5,129.25,116,118.35,179546
2005-06-01,118.75,126.75,104.5,108.05,242769
2005-07-01,109.4,110,96.15,103.15,144297
2005-08-01,103,108.6,94,101.05,230919
2005-09-01,102.5,105.5,86.3,93.45,196220
2005-10-03,93.5,106.8,91.6,96.65,189315
2005-11-01,97.4,112.4,96,97,227521
2005-12-01,97,108.4,93.5,107.1,171381
2006-01-03,107.5,125.9,106.2,118.2,239562
2006-02-01,118.5,120.2,106.5,113.7,240810
2006-03-01,113,115.3,103.5,107,228686
2006-04-03,106.5,116.4,106.5,109.7,237670
2006-05-01,110,113.6,97.1,98.95,222948
2006-06-01,98.55,103,95.1,101.1,262993
2006-07-03,102.5,104.75,93.95,99.35,200956
2006-08-01,98.75,114,97.5,108,291352
2006-09-01,107.2,111.2,101,107.65,185133
2006-10-02,107.1,110,100.9,108.25,208285
2006-11-01,108,126.8,107.4,124.3,274703
2006-12-01,124.3,130,121.9,126.2,193912
2007-01-03,124.3,125.9,115.3,117.65,216492
2007-02-01,118.3,121,114.3,118.5,253353
2007-03-01,118,118.8,108.4,109.25,251564
2007-04-02,109.25,117.05,105.75,106.15,255153
2007-05-01,106.15,114.05,103.25,111.9,237358
2007-06-01,111.9,119,110.9,112.8,321278
2007-07-02,112.8,116.2,108.7,114.3,226904
2007-08-01,113.8,126,112.75,115.85,306289
2007-09-04,116.75,135,115.2,128.65,263813
2007-10-01,130,140.8,119.8,121.35,308956
2007-11-01,121.8,131.5,118,129.2,251563
2007-12-03,129,137,127.6,136.2,159287
2008-01-02,136,139.4,129.7,138.15,287418
2008-02-01,137.6,171.9,137.15,166.8,376930
2008-03-03,165.25,168.85,125.85,127.4,352789
2008-04-01,127,142.85,126.2,135.45,304643
